matricola,cognome,nome,residenza,classe,nazione,data_nascita,cap
20138,GHELLERE,FRANCESCO,OPPEANO,5AI,Italy,05/08/2005,37133
19365,MARTINELLI,ROBERTO,VERONA,2HL,Italy,31/05/2005,37015
19199,BOZZOLIN,LUCA,PESCANTINA,5AE,Italy,10/01/2005,37011
19735,RINELLI,PIETRO,COSTERMANO,3EI,Italy,26/04/2005,37051
19516,PERINA,LORENZO,TORRI DEL BENACO,5AT,Italy,24/11/2005,37132
18686,SELLAM,CRISTIANO PIO,VERONA,4AC,Italy,01/12/2005,37060
19590,MORELATO,DANTE,ISOLA DELLA SCALA,4DI,Italy,21/07/2007,37136
20159,HADHADI,MAHDIN,PESCHIERA DEL GARDA,3AL,Italy,02/09/2005,37015
20469,MOSTI,LUCA,VERONA,5BI,Italy,23/02/2004,37131
20470,MANTOVANELLI,GIANLUCA,PESCANTINA,1EI,Italy,24/06/2007,37139
20540,SACCOMANDO,GIOVANNI,SAN GIOVANNI LUPATOTO,2HL,Italy,17/09/2006,37132
19191,RECCHIA,MATTEO,VELO VERONESE,2NE,Italy,19/01/2006,37026
20206,ALBERTI,SAMUELE,VERONA,1QL,Italy,06/01/2006,37030
18968,ORLANDI,MANUEL,VERONA,2PE,Dominican Republic,09/08/2004,37132
18911,MU,GABRIELE,VERONA,1PE,Italy,29/03/2005,37067
18856,GNESATO,EMMA,VERONA,5AI,Italy,06/01/2004,37059
19710,DONATONI,MOHAMMED,MOZZECANE,3BL,Italy,21/10/2007,37020
20184,SERPELLONI,RICCARDO,RONCO ALL'ADIGE,4AT,Italy,14/08/2007,37139
20402,PAVONI,AMBRA,VERONA,1EI,Italy,09/03/2005,37138
18923,ZHANG,SIMONE,VERONA,3DI,Italy,13/09/2002,37100
20303,ONI,PIETRO,ROVERE' VERONESE,2OE,Italy,27/11/2005,37066
19183,GENNARI,DAVID MARIAN,VERONA,2FL,Italy,17/07/2007,37141
18667,BERTAIOLA,ALESSANDRO,VERONA,2HL,Italy,21/12/2006,37067
20409,TOFFALORI,ALESSANDRO,BARDOLINO,1HL,Italy,05/06/2007,37030
20327,COLATO,ALESSANDRO,PONTI SUL MINCIO,1PE,Italy,24/08/2004,37060
19944,VITALE,ALESSANDRO,SOMMACAMPAGNA,2DI,Tunisia,14/08/2004,37122
20294,LAPERNA,MATTIA,CASTEL D'AZZANO,4AE,Lebanon,11/11/2007,37026
20543,IMRAN,ANDREA,CAPRINO VERONESE,3AC,Italy,08/10/2007,37067
20459,SARTORI,SEBASTIANO,VERONA,3BE,Italy,12/11/2003,37131
19509,GIANELLO,SPYRIDON,COLOGNOLA AI COLLI,1BI,Italy,08/01/2007,37138
19745,BENAI,ALESSIO,VERONA,3BI,Italy,21/01/2006,37050
18904,LAMENDOLA,TOMMASO,BUSSOLENGO,3CI,Romania,03/02/2005,37020
18575,NOBILE,FILIPPO,VALEGGIO SUL MINCIO,1SE,Romania,09/12/2004,37060
19192,ZANAGLIA,FEDERICO,OPPEANO,4AT,Italy,13/10/2007,37132
20109,ALDA',RAYANE,SONA,1CI,Italy,22/06/2007,37060
18991,BRUTTI,DAVIDE,VERONA,1PE,Italy,26/03/2005,37059
20115,CORRADI,ROMEO,SAN GIOVANNI LUPATOTO,1DI,Italy,15/08/2006,37023
19409,MEGHI,ALESSANDRO,PESCANTINA,5DI,Italy,24/05/2007,37124
19281,GARCIU,LEONARDO,VILLAFRANCA DI VERONA,3FI,India,07/05/2005,37131
19995,MALIZIA,IVAN,VERONA,4AC,Italy,02/04/2007,37032
20316,MOROZAN,THOMAS ROBERT,VERONA,1EI,Italy,04/07/2005,37014
19931,PANTALENA,LEONARDO,VERONA,1FL,Italy,30/04/2004,37060
20353,DAL MASO,AMINE,VERONA,3BE,Italy,15/02/2001,37014
19779,CASTIGLIONI,ANDREA,BUSSOLENGO,3AE,Sri Lanka,25/08/2005,37036
19049,MARCONI,LUCA,TREGNAGO,2NE,Italy,02/06/2004,37066
18633,OMOROTIOMWAN,GIANLUCA,RONCO ALL'ADIGE,2ME,Italy,07/12/2004,37057
18577,SCARPA,CRISTIAN EROS,CASTELNUOVO DEL GARDA,1GL,Italy,19/12/2006,37057
19597,ALBERTINI,MATTIA,SONA,2CI,Italy,18/10/2007,37022
20292,PALUMBO,ALESSANDRO,ROVERE' VERONESE,1PE,Italy,23/05/2005,37136
20391,BELLANI,PIETRO,SONA,5DI,Italy,18/12/2005,37068
19671,BUTNARU,NICOLO',NEGRAR,1NE,Italy,19/08/2004,37132
19252,CORBIOLI,FEDERICO,VERONA,3CI,Italy,17/05/2005,37138
20011,PAVAN,ADAM,VERONA,3EI,Italy,18/05/2004,37135
18970,PESENTI,BRIAN,VERONA,2IL,Italy,06/03/2003,37030
18646,POZZANI,LORENZO,SAN PIETRO IN CARIANO,1CI,Italy,21/11/2005,37135
18660,ZANANDREIS,ALESSANDRO,ISOLA DELLA SCALA,2OE,Romania,08/04/2003,37050
20433,FERARU,RENALTI,VERONA,5AI,Italy,17/12/2007,37026
19329,BOSELLI,MATTIA,VERONA,5AE,Italy,22/11/2005,37054
18854,DONG,DAVIDE,VERONA,1NE,Italy,29/07/2003,37030
19502,GJOKA,TOMMASO,VERONA,5BI,Italy,03/07/2005,37057
18525,MENEGOI,DAVIDE,SAN GIOVANNI LUPATOTO,3CI,Italy,26/05/2004,37138
19517,SPALLACCI,RICCARDO,CERRO VERONESE,5AI,Italy,14/07/2003,37066
19652,MITRAN,SENDIN,COLOGNOLA AI COLLI,3FI,Italy,05/08/2006,37139
19151,PROVEDELLI,SAMUELE,POVEGLIANO VERONESE,3GI,Italy,22/09/2007,37060
18643,TOSKU,FRANCESCO,VERONA,5BI,Italy,12/04/2003,37100
18648,CORSO,LUCA PAUL,VERONA,1DI,Romania,27/11/2003,37036
20324,ANNECHINI,EMANUELE,VERONA,5AT,Italy,16/03/2006,37100
20351,SLAVIERO,FEDERICO,VERONA,3AI,Italy,06/12/2006,37069
20165,DELGADO RODRIGUEZ,OSCAR,CASTELNUOVO DEL GARDA,5AT,Italy,23/08/2002,37014
18802,CHEN,DIEGO,SOMMACAMPAGNA,2AI,Italy,30/08/2003,37137
19934,CANI,MATTIA,VERONA,3CI,Italy,08/06/2007,37026
20340,GIUZIO,ETTORE,ZEVIO,2CI,Italy,15/02/2005,37142
19420,AYARI,DAMIANO,VERONA,1BI,Italy,24/11/2004,37136
18751,MAYI,TOMMASO,PESCANTINA,5DI,Italy,29/08/2005,37026
19644,CERVELIN CANDIDO,MIRKO,VERONA,2GL,Italy,07/11/2005,37142
18930,CAMPAGNOLA,MATTEO,VERONA,1AI,Italy,13/08/2006,37030
20300,CONSUMA,DINUSHKA CHAMOTH,LONIGO,3AI,Italy,19/01/2004,37138
20245,VAMANU,EDOARDO,VILLAFRANCA DI VERONA,1AI,Morocco,03/05/2005,37066
18627,KIRAI,YUHAO,SOMMACAMPAGNA,2OE,China,18/10/2007,37039
19394,ZANDONA',MAXIM,VERONA,3AE,Italy,15/11/2004,37051
19153,UDALI,FEDERICO,VERONA,5BI,Morocco,23/11/2007,37030
18984,HALUNGA,ALEXANDRU,VERONA,5CI,Italy,08/03/2005,37138
20122,GROPPO,SIMONE,VERONA,3AL,Italy,21/03/2007,37015
20333,MASSALONGO,LEONARDO,VERONA,1LE,Italy,03/08/2006,37012
18995,POPOVSCHI,STEFANO BRANDO,SAN BONIFACIO,3FI,Italy,14/10/2006,37132
20410,MELEGATTI,CHRISTIAN,VERONA,3AL,Italy,19/08/2003,37023
18787,PASQUALINI,LEONARDO,VERONA,1BI,Italy,07/07/2003,37057
19728,PEIRIS,MARCO,CASTEL D'AZZANO,5AC,Italy,11/06/2004,37026
17790,MARCHIELLA,CHANUNTIDA,SAN GIOVANNI LUPATOTO,1FL,Italy,20/12/2006,37124
18539,MIRANDOLA,DIEGO,SAN GIOVANNI LUPATOTO,3ZI,Italy,16/11/2006,37026
20172,EZZEBDI,MARCO-ANDREI,SAN GIOVANNI LUPATOTO,3AL,Albania,26/12/2003,37067
19912,TAGLIANI,LEONARDO,BUTTAPIETRA,5BI,Italy,31/10/2006,37014
19320,CIENO TIBALDI,MATTEO,VERONA,2NE,Italy,08/08/2007,37015
18897,MATTIOLO,GIULIO,VERONA,1OE,Italy,07/05/2004,37012
18967,ROMANI,MIRKO,VERONA,4AT,Italy,14/07/2005,37042
19327,BARBI,ALEX,NEGRAR,2DI,Italy,24/12/2003,37138
20463,SARTORI,MARIUS,VERONA,4AL,Italy,10/09/2004,25019
20006,ZIVKOVIC,FILIPPO,VILLAFRANCA DI VERONA,2AI,Italy,20/04/2002,37060
19831,AVENIA,THOMAS,SOMMACAMPAGNA,3BL,Italy,09/10/2007,37063
18959,SHEHU,LEONARDO,VERONA,3BE,Italy,27/09/2005,37012
19515,LARDO,VICTOR,VERONA,1PE,Italy,15/10/2002,37127
19450,ZATTONI,AARON,CASTEL D'AZZANO,3AL,Italy,27/02/2005,37030
19118,KAUR,DAVIDE,VERONA,1DI,Romania,05/01/2004,37139
18770,BOTOU,MATTIA,NOGARA,5BI,Italy,30/01/2004,37059
19625,AMBROSI,PETRU EMANUEL,BUTTAPIETRA,3DI,Italy,30/06/2004,37019
19635,FACCIO,RICCARDO,COLOGNOLA AI COLLI,4DI,Tunisia,15/09/2002,37059
19767,SZYMANSKI,ROBERTA,BOSCO CHIESANUOVA,3EI,Italy,20/08/2004,37067
20357,GAIARDONI,LUCA,PESCANTINA,1FL,Romania,16/11/2005,37064
19708,MARTINS DE SOUSA DE LIMA,GIOVANNI,CASTEL D'AZZANO,4AI,Italy,08/12/2004,37035
20124,CERNOMAZ,GIACOMO,BOVOLONE,1NE,Italy,30/12/2003,37050
19568,OLIVIERI,RICCARDO,VILLAFRANCA DI VERONA,1BI,Moldova,07/02/2005,37030
19841,CECCATO,FRANCESCO,CERRO VERONESE,2AI,Ghana,22/07/2006,37057
19647,CIOT,SIMONE,PESCANTINA,2DI,Italy,22/11/2005,37055
19845,CASTELLETTI,SERENA,SONA,1OE,Italy,05/07/2003,37133
19859,BENETAZZO,DHRUV,GREZZANA,3DI,Italy,02/08/2007,37051
20337,CARRARINI,SHIV,SAN GIOVANNI LUPATOTO,4BE,Greece,05/09/2005,37026
18533,SCOTTO DI CARLO,EMANUELE,ISOLA DELLA SCALA,1LE,Italy,08/01/2007,37060
19302,CASTELLANI,MARIUS-CRISTIAN,POVEGLIANO VERONESE,3AT,Italy,21/04/2005,37069
19514,DOSSI,FRANCESCO MARIA,VERONA,5AE,Sri Lanka,01/08/2006,37059
19817,SANSO',MARCO,CAVAION VERONESE,4AE,Italy,02/05/2004,37125
19971,BERNARDI,MATTIA,PESCANTINA,3GI,Italy,16/12/2003,37059
18294,PELOSO,CATERINA,PESCANTINA,1QL,Romania,22/12/2003,37029
18688,COSOLOVSCHI,DENETH KIYAN,VILLAFRANCA DI VERONA,3AI,Italy,04/07/2004,37138
19747,CASTELLANI,FLAVIO,BUSSOLENGO,1ME,Italy,03/10/2004,37139
19480,MARCONI,SARA,BOSCO CHIESANUOVA,2LE,Italy,06/10/2007,37138
18982,DAVID,GABRIELE,VERONA,3DI,Italy,20/09/2006,37068
20313,MANNONE,ALESSANDRO,VERONA,3CI,Italy,13/09/2007,37023
20205,ZANETTI,ROBERTO SAVERIO,ISOLA RIZZA,4AT,Italy,30/09/2004,37138
19594,ANDREATTA,SOUHAIL,GREZZANA,1FL,Romania,02/11/2004,37051
19159,LIZZIO,DANILO,VERONA,1NE,Italy,26/01/2004,37059
19046,ROSSI,ZHE,VERONA,3BL,Italy,05/02/2007,37010
18493,MAGNANI,MARTINO,CASTEL D'AZZANO,2AI,Italy,06/05/2007,37030
18805,MAURO,MARTA,CASTELNUOVO DEL GARDA,3FI,Italy,03/05/2006,37068
19437,NASSAR,ANDREA,VILLAFRANCA DI VERONA,5BL,Italy,05/09/2003,37030
20465,DAL FORNO,MUHAMMAD ZESHAN,VERONA,1BI,Italy,23/07/2006,37138
18679,SCURTI,PIETRO,SOMMACAMPAGNA,5DI,Italy,01/03/2007,37011
19843,ALLEGRI,RICCARDO HORIA,BOVOLONE,1CI,Romania,14/01/2003,37013
19112,PEZZO,FEDERICO LORENZO,SAN GIOVANNI LUPATOTO,3GI,Italy,16/08/2004,37038
19715,GRECHIN,NICOLO',CASTEL D'AZZANO,2NE,Moldova,26/07/2007,37059
20429,NNANNA,REDA,CALDIERO,1RI,Italy,28/03/2005,37020
19876,BENINI,NICCOLO',VERONA,3BI,Italy,28/03/2003,37057
18521,PAROLINI,ALI,VERONA,2ME,Italy,02/12/2006,37010
18532,PAOLINI,DAVIDE,SAN MARTINO BUON ALBERGO,5CI,Italy,28/07/2006,37021
19313,CORTELLA,LORENZO,VERONA,5BL,Italy,22/02/2006,37063
19897,PILOTTO,VITTORIO,ILLASI,2FL,Italy,13/10/2004,37017
19726,D'URSO,MARCO,VERONA,3AI,Italy,10/02/2006,37060
19915,KURTI,PAOLO TANCREDI,SOMMACAMPAGNA,5AT,Italy,10/07/2003,37060
19911,POPUSOI,AYMAN,COSTERMANO,3CI,Romania,23/11/2005,37132
20495,BALTAJI,SARA,SONA,2NE,Italy,14/01/2005,37122
19043,ANTOLINI,ADNANE,RONCO ALL'ADIGE,3AE,Italy,02/06/2004,37023
18470,CAROLLO,SIMONE,VIGASIO,4BE,Sri Lanka,01/03/2007,37060
19103,MHADDAR,NICOLA,ISOLA DELLA SCALA,1DI,Italy,04/08/2005,37136
18277,MENEGAZZI,CORNEL,VERONA,2NE,Italy,10/01/2007,37132
19001,PERARO,EFREM,SAN MARTINO BUON ALBERGO,3AL,Italy,16/10/2002,37136
20389,DOARDO,SAMUELE,SAN BONIFACIO,1SE,Italy,29/09/2005,37030
20080,SPINIELLA,LUCA,BUSSOLENGO,1EI,Nigeria,19/09/2007,37036
19765,MONTRESOR,GIULIO,SOMMACAMPAGNA,1EI,Italy,17/09/2002,37055
19476,COTTINI,DANIELE,PASTRENGO,4EI,Italy,07/02/2007,37137
19909,FORNALE',ALEX,VERONA,2PE,Italy,13/05/2006,37051
18799,EMILIANI,GIORGIA,VERONA,1FL,Italy,25/05/2002,37060
19947,BOL,DANIEL ANDREI,DOLCE',1PE,Italy,26/02/2006,37030
19139,TAROCCO,VALERIO,VERONA,5AE,Pakistan,27/03/2006,37100
18595,RAFFAGNINI,NABIL,BOSCO CHIESANUOVA,1QL,Italy,21/05/2005,37032
18586,SAMBUGARO,OTMAN,SAN PIETRO IN CARIANO,2IL,Italy,08/12/2004,37136
18393,ZECCHINI,MATTIA,VERONA,5DI,Italy,01/09/2007,37131
19874,TOMASELLI,DAVIDE,VERONA,1PE,Italy,22/08/2007,37134
19031,BIOLCHI,CHRISTIAN,MOZZECANE,3AL,Italy,26/09/2005,37020
19245,VILLARDI,NICHOLAS ALEXANDER,PALU',1IL,Italy,24/04/2006,37138
19297,SCASSERLE,ELIA,NEGRAR,3AT,Italy,07/09/2005,37012
18834,GALVANI,MATTIA,OPPEANO,1RI,Italy,29/12/2005,37059
19794,TONON,TOMMASO,SOMMACAMPAGNA,5CI,Italy,12/11/2004,37066
19411,BASSI,PIERLUCA,PESCANTINA,1BI,Italy,12/09/2004,37026
19119,CONCOLINO,PIETRO,GREZZANA,1EI,Italy,27/03/2007,37010
18937,BERTANI,SOFIA,VERONA,2BI,Italy,10/11/2005,37137
19175,PAOLILLO,RARES BOGDAN,VERONA,4BE,Italy,05/08/2003,37026
19986,TESINI,PIETRO,SAN MARTINO BUON ALBERGO,5AT,Italy,18/06/2004,37134
17947,SCIMONE,FRANCESCO,ZEVIO,1BI,Italy,30/09/2006,37030
19887,BELLE',LORENZO,CALDIERO,3BL,Italy,21/10/2004,37019
20028,XHAFA,KONSTANTIN,VERONA,3GI,Italy,05/06/2007,37135
20208,SARTORI,RAFAEL FLORENTIN,SAN GIOVANNI LUPATOTO,4AL,Italy,13/05/2007,37137
19562,TESTI,FEDERICO,COLOGNOLA AI COLLI,1CI,Italy,25/06/2004,37020
19397,RIGO,SARA,VERONA,1BI,Moldova,28/07/2006,37132
18985,CUNICO,ENRICO,PESCHIERA DEL GARDA,1ME,Italy,21/04/2003,37020
18637,MIGLIORINI,THASHMI CRISHTINA,VERONA,4AC,Italy,20/05/2002,37017
19114,SALGARI,MATTIA,VERONA,4CI,Italy,27/04/2005,37063
18363,CORBIOLI,MATTEO,VERONA,2GL,Italy,03/04/2005,37017
19123,DE SILVESTRI,ANDREA,VERONA,1SE,Sri Lanka,24/09/2004,37060
20486,CAPRA,SITHUM AKARSHA FERNANDO,VERONA,2IL,Italy,29/01/2003,37057
18888,ANTONELLI,KING WILLIAMS BENEDICT,VERONA,5DI,Italy,10/08/2003,37059
19006,VENTURINI,STEFANO,NEGRAR,2AI,Italy,20/07/2003,37015
18634,RUBINO,FEDERICO,NOGAROLE ROCCA,1HL,Italy,09/04/2007,37051
19029,PANFORTE,NICOLE,NEGRAR,2OE,Italy,03/04/2004,37028
19746,DI EGIDIO,DIEGO,CASTEL D'AZZANO,2IL,Italy,23/10/2005,37057
19207,KAHATAPITIYA,ANGELO CLAUDIO,VERONA,3EI,Italy,29/08/2002,37023
18578,SALVETTI,RICCARDO,SAN GIOVANNI LUPATOTO,1PE,Italy,03/07/2003,37138
20015,AJETI,JACOPO,CASTELNUOVO DEL GARDA,4AI,Italy,19/12/2007,37014
18955,RANCAN,JANSSEN ROSS,BUSSOLENGO,2NE,Italy,11/08/2006,37137
20394,SARTORI,OLEG,PESCANTINA,4AT,Italy,21/02/2006,37135
18726,LAVARINI,VINCENZO,VERONA,4DI,China,16/12/2003,37024
20134,POIANA,FRANCESCO,MARANO DI VALPOLICELLA,1ME,Italy,29/08/2003,46020
18979,MIHINDUKULASOORIYA FERNANDO,ALESSANDRO,SOMMACAMPAGNA,1RI,Italy,02/09/2004,37012
20273,LEPRE,PIERLORENZO,SAN GIOVANNI LUPATOTO,4BE,Italy,13/01/2001,37136
19974,PRADELLA,JIN TAO,SOMMACAMPAGNA,2EI,Italy,23/07/2005,37012
19766,LOVATO,ZAKI,VERONA,1ME,Italy,06/09/2006,37136
18008,POIATA,MARIO DARIUS,VERONA,1DI,Italy,12/02/2006,37036
19080,BRUNELLI,MATTIA,SOMMACAMPAGNA,2HL,Italy,09/08/2005,37030
19000,BRIGHENTI,JOSHUA,VERONA,3DI,Italy,22/06/2002,37136
20106,BASTIANELLO,ALESSANDRO,VERONA,5AL,Romania,16/02/2007,37060
19078,PERINA,DEVID,SAN MARTINO BUON ALBERGO,1OE,Italy,14/09/2006,37057
19128,MENINI,ERIK,GREZZANA,5AI,Italy,01/05/2003,37066
19097,GENOVESE,NICHOLAS,ISOLA DELLA SCALA,1CI,Italy,23/07/2005,37051
19899,BONFANTE,ALESSANDRO,VERONA,3FI,Italy,20/01/2007,37050
19751,FACCHINETTI,ALESSANDRO,VERONA,1PE,Italy,04/06/2002,37068
19396,BARRANU,ALESSANDRO,VILLAFRANCA DI VERONA,2IL,Italy,28/08/2007,37030
19535,GABURRO,TREASURE OSAIGA,LAVAGNO,1SE,Romania,07/05/2004,37029
18538,CORRADO,SIMONE,CASTELNUOVO DEL GARDA,1AI,Italy,10/09/2006,37017
19942,DAGA,YOUSSEF,BUTTAPIETRA,2HL,Italy,23/02/2007,37010
20216,MALVEZZI,MARCO,BUSSOLENGO,4AE,Romania,22/10/2005,89013
18617,SCARDINO,CHIARA LUNA,VERONA,4BI,Italy,06/05/2005,37131
18884,DAL DOSSO,ANXHELO,VIGASIO,5BL,Ghana,15/05/2007,37139
19698,SIGNORATO,ALESSIO,CASTELNUOVO DEL GARDA,1NE,Italy,08/07/2003,37068
18827,BISSOLI,FEDERICO,SOAVE,3AL,Italy,25/06/2007,37059
19520,PINAROLI,DAVIDE,VERONA,3GI,Italy,20/01/2004,37066
20445,FRANZINI,DANIELE,SOMMACAMPAGNA,5AL,Romania,11/11/2005,37055
20321,BERTAGNOLI,ANDREA,PESCANTINA,2FL,Italy,28/11/2004,37030
19542,PISPISA,FILIPPO,SAN MARTINO BUON ALBERGO,4BI,Italy,03/11/2007,37036
18807,PAGANI GRISO,PAOLO,ZEVIO,1SE,Italy,11/04/2005,37125
18813,CENTOMO,PIETRO GIAMPAOLO,VERONA,1FL,Bangladesh,24/05/2006,37060
18735,TESINI,LUCA,CALDIERO,2LE,Italy,14/04/2002,37100
20500,GOBBETTI,ENRICO,VERONA,1DI,Italy,11/01/2003,37059
18899,ZAMBALDO,ANDREA,CERRO VERONESE,5DI,Italy,28/03/2007,37051
19250,ANDREI,ADAM,VERONA,1FL,Italy,11/07/2005,37051
20154,VIVIANI,FRANCESCO STEFANO,ISOLA RIZZA,4BE,Italy,13/06/2007,37055
19627,GASPEROTTO,MANAL,GIOIA TAURO,5AE,Italy,07/10/2005,37023
18550,GRANDE,MATTIA,SAN MAURO DI SALINE,1HL,Italy,17/03/2003,37132
20331,SINISCALCHI,ALBERTO,POVEGLIANO VERONESE,1QL,Romania,04/07/2005,37030
18917,CRIVELLARI,PIETRO,CASTEL D'AZZANO,4AC,Italy,07/05/2003,37138
19350,ANDERLONI,CRISTIAN DANIEL,CASTELNUOVO DEL GARDA,4AT,Italy,04/03/2007,37136
20277,CHEEMA,ALESSANDRO,VERONA,4AE,Italy,01/02/2002,37068
20241,ZHANG,MICHELE,SONA,5AE,Romania,11/01/2003,37063
20155,MISIANO,NICOLO',VERONA,5BI,Romania,19/08/2004,37010
18565,FAEDO,AMIN,ZEVIO,1LE,Italy,19/08/2005,37067
19964,CALZA,MARCO,SAN GIOVANNI LUPATOTO,3AC,Italy,07/05/2004,37062
20162,SALZANI,MATTIA,VIGASIO,4AL,Italy,28/09/2006,37060
20343,CASIELLO,GABRIELE,DOLCE',3GI,Italy,08/03/2007,37030
18743,STEVANONI,FRANCESCO ZENO,VERONA,3BE,Italy,08/11/2002,37131
19773,DALLA RIVA,LORENZO,PESCANTINA,1RI,Italy,21/03/2004,37059
18144,DRAGOI,ELIA,PASTRENGO,1DI,Italy,13/07/2005,37020
19311,PERINI,ALBERT ANDREI,SOMMACAMPAGNA,2IL,Italy,20/09/2007,37138
17719,FREDDO,BANSU,CASTEL D'AZZANO,5BI,Italy,07/01/2006,37015
19085,BURLESCU,MATTEO,VALEGGIO SUL MINCIO,5BL,Italy,20/12/2004,37024
18589,CAVALLARO,ALESSIO,SANT'ANNA D'ALFAEDO,2OE,Italy,30/12/2007,37050
18973,SPADA,LUCA,VERONA,3BE,Italy,04/09/2003,37013
19513,OJOG,MATTIA,VALEGGIO SUL MINCIO,1ME,Italy,26/08/2003,37023
19952,POZO AVILA,WALTER,ISOLA DELLA SCALA,1RI,Italy,21/03/2006,37014
19529,LUCA,MICHELE,VERONA,4EI,Italy,31/08/2002,37030
19345,CALIGIURI,LINDA,SAN GIOVANNI LUPATOTO,2GL,Italy,03/12/2003,37138
19673,BENETTON,ANDREA IVAN,PESCANTINA,5AL,Italy,22/08/2006,37066
18708,TROVO',JULIAN CHRISTIAN,BUSSOLENGO,1EI,Italy,14/02/2006,37010
19636,FRACCA,SARA,VERONA,1FL,North Macedonia,10/06/2005,37068
19582,YANG,TOMMASO,VIGASIO,1NE,Italy,30/09/2004,37013
19738,MILONE,ALESSANDRO,BUSSOLENGO,2CI,India,19/04/2007,37036
20008,BERTAGNIN,JHAM EDSELL,PESCANTINA,2AI,Italy,07/10/2004,37138
19998,VENTURA,MARCO,COLOGNOLA AI COLLI,3GI,Italy,24/03/2006,37024
19284,AISSAT,MARWAN,BOVOLONE,1DI,Italy,14/07/2005,37050
20344,SCALA,MARTINO,VERONA,4BL,Italy,16/09/2005,37135
20022,MAGGIO,NICOLO' SILVANO,SANT'AMBROGIO DI VALPOLICELLA,4BI,Italy,19/11/2005,37038
19808,JRIOU,MARCO,GREZZANA,5EI,Italy,15/12/2004,37026
19941,FREMPONG,ALBERTO,SOMMACAMPAGNA,2CI,Italy,16/03/2007,37010
19812,RONCARI,FEDERICO ANGELO,SOMMACAMPAGNA,2OE,Italy,03/03/2003,37057
20182,CAMPI,ISMAIL,VERONA,1FL,Italy,29/07/2005,37131
19980,NARDI,LORENZO,RIVOLI VERONESE,5AE,Ukraine,01/05/2005,37135
19577,CASELLA,MARCO ANTONIO,VERONA,3BI,Italy,09/04/2003,37038
19473,BUHOCIANU,OMAR,VILLAFRANCA DI VERONA,3EI,Italy,09/05/2001,37069
20375,RICHICHI,ANNA,RONCO ALL'ADIGE,4CI,Italy,25/06/2004,37067
19506,PERONI,PATRIK,RONCO ALL'ADIGE,1SE,Italy,25/02/2004,37047
20326,TARI,MARCO,VERONA,2EI,Italy,15/10/2004,37039
19254,RAGUIGUE,NICCOLO',VERONA,5BL,Italy,10/07/2007,37012
19771,SODANO,MANUEL,SOMMACAMPAGNA,3AC,Italy,02/01/2008,37030
18598,POMARI,TOMMASO,SAN PIETRO IN CARIANO,2DI,Italy,05/08/2005,37137
19455,SCOGNAMIGLIO,FILIPPO,SAN GIOVANNI LUPATOTO,1QL,Italy,18/12/2005,37138
18752,PISANELLI,KRISTIAN,VERONA,2BI,Romania,07/01/2004,37131
20521,MARCONI,RICCARDO,VERONA,1ME,Italy,04/09/2007,37142
19106,CORAZZOLI,ALBERTO,ZEVIO,3AI,Italy,05/05/2006,37133
18562,HARKA,MIRKO,VERONA,1AI,Italy,30/08/2005,37069
18557,BOUGUETTAYA,GIACOMO,LAZISE,1IL,Italy,15/06/2006,37020
18957,ILIEVSKI,LORENZO,SAN GIOVANNI LUPATOTO,3AT,Italy,14/10/2002,37059
18180,MORATI,RICCARDO,SANT'AMBROGIO DI VALPOLICELLA,3DI,Italy,19/06/2007,37136
18624,MARINI,FRANCESCO,VALEGGIO SUL MINCIO,1LE,Italy,27/12/2003,37142
20305,BUDA,ANDREA,VERONA,5AE,Italy,29/08/2001,37136
19559,ZOOGAH,MICHELE,VERONA,5DI,Italy,04/05/2007,37136
19272,BECCHERLE,DIEGO,BARDOLINO,3CI,Italy,19/01/2008,37067
20221,NAHIN,ALESSANDRO,BUSSOLENGO,3FI,Italy,14/05/2007,37139
20268,PASQUALE,RICCARDO,RONCO ALL'ADIGE,3EI,Italy,10/09/2003,37015
20281,BELLAMOLI,NADEESHA MADUSHAN SANJULA PERERA,OPPEANO,4AE,Italy,18/01/2007,37139
20191,CROCE,PIETRO,VERONA,1PE,Sri Lanka,11/09/2005,37136
19082,CAMPALDINI,RUBEN,PALU',3GI,Italy,24/06/2000,37026
20263,SABHI,DANIELE,ZEVIO,5AT,Philippines,13/03/2003,37059
20223,RIGONI,GIOVE,NEGRAR,1HL,Italy,30/05/2007,37050
19005,ARIAS JARAMILLO,MARCO,MONTEFORTE D'ALPONE,4EI,Italy,15/03/2007,37029
19090,VIVIANI,HAMZA,SONA,2BI,Albania,27/11/2006,37051
19239,GUGLIELMINI,ABDEELRAHMAN,VERONA,5BL,Italy,01/05/2006,37136
20176,ZANDONA',LUCA,SANT'AMBROGIO DI VALPOLICELLA,1OE,Italy,06/05/2006,37013
18572,BASSI,ALESSANDRO,VERONA,5AL,Italy,12/05/2005,37135
20010,CREMASCO,MANUEL,VERONA,5BI,Italy,23/11/2006,37067
19868,GALLINA,CHRISTIAN,VERONA,1BI,Italy,06/03/2003,37060
19959,HASSIA,FILIPPO MARIA,VIGASIO,4AI,Italy,10/05/2003,37026
20472,LANZA,MARTINO,BUSSOLENGO,2EI,Nigeria,27/12/2006,46040
19706,RIZZO,ALEX,SANT'AMBROGIO DI VALPOLICELLA,1AI,Italy,25/02/2003,37138
20466,UEBERBACHER,MEHDI,VERONA,3FI,Romania,27/12/2005,37030
18608,CHERUBINI,MATTIA,VERONA,2OE,Italy,02/11/2003,37050
